density	 t_tilde	 bins	 Energy	 EnVariance	 VarianceofTotE	 VarianceOfV 
0.01	0.014	30	-0.00069903	7.45667e-05	0.0642554	0.0045057
0.01	0.014	31	-0.000646172	8.89441e-05	0.0725607	0.00736331
0.01	0.014	32	-0.000637966	8.65422e-05	0.0730882	0.00715528
0.01	0.014	33	-0.000651483	8.49687e-05	0.0717076	0.00694551
0.01	0.014	34	-0.000662747	8.32129e-05	0.0706558	0.00673196
0.01	0.014	35	-0.000650848	8.16816e-05	0.0723159	0.00666772
0.01	0.014	36	-0.00065758	7.96896e-05	0.0714771	0.00648765
0.01	0.014	37	-0.000658471	7.75409e-05	0.0711101	0.0063173
0.01	0.014	38	-0.000627535	8.14384e-05	0.0735953	0.00631307
0.01	0.014	39	-0.000636157	7.98054e-05	0.0725118	0.00617038
0.01	0.014	40	-0.000647544	7.86184e-05	0.0712267	0.00603941
0.01	0.014	41	-0.000655565	7.71089e-05	0.0704363	0.00588801
0.01	0.014	42	-0.000630781	7.91558e-05	0.0728528	0.00596277
0.01	0.014	43	-0.000640759	7.79414e-05	0.0718454	0.00582761
0.01	0.014	44	-0.000654533	7.73774e-05	0.0705511	0.00570183
0.01	0.014	45	-0.000644913	7.62536e-05	0.0714601	0.00561999
0.01	0.014	46	-0.000640098	7.47478e-05	0.0720489	0.00552281
0.01	0.014	47	-0.000625961	7.44823e-05	0.0733472	0.00548288
0.01	0.014	48	-0.000613287	7.40009e-05	0.0742384	0.00540603
0.01	0.014	49	-0.000604557	7.30039e-05	0.0750896	0.00533944
0.01	0.014	50	-0.000571829	7.8538e-05	0.0776072	0.00543565
0.01	0.014	51	-0.000572047	7.69984e-05	0.0774891	0.00532945
0.01	0.014	52	-0.000572115	7.55177e-05	0.0773722	0.00522778
0.01	0.014	53	-0.00058191	7.47252e-05	0.0762908	0.00515348
0.01	0.014	54	-0.00058151	7.33425e-05	0.0762774	0.00505901
0.01	0.014	55	-0.000583244	7.20295e-05	0.0762354	0.00496255
0.01	0.014	56	-0.000590005	7.10598e-05	0.0754549	0.00488543
0.01	0.014	57	-0.000596483	7.01078e-05	0.0747086	0.00480981
0.01	0.014	58	-0.000600436	6.90104e-05	0.074446	0.00471854
0.01	0.014	59	-0.000602687	6.78775e-05	0.0742667	0.00463433
0.01	0.014	60	-0.000603662	6.67532e-05	0.0740929	0.00455682
0.01	0.014	61	-0.000614372	6.65126e-05	0.0730541	0.00449951
0.01	0.014	62	-0.000607251	6.58199e-05	0.0735689	0.0044465
0.01	0.014	63	-0.000612957	6.50219e-05	0.0729953	0.00437717
0.01	0.014	64	-0.00061462	6.40272e-05	0.0729185	0.00430503
0.01	0.014	65	-0.000618925	6.31868e-05	0.0725117	0.0042361
0.01	0.014	66	-0.000622529	6.23321e-05	0.0722695	0.00416506
0.01	0.014	67	-0.000624653	6.1438e-05	0.0719212	0.00410643
