1 0.02 0.024 2.5	0.00670333 0.0184128
1 0.02 0.024 2.6	0.00764577 0.0251041
1 0.02 0.024 2.7	0.0981773 0.0219734
1 0.02 0.024 2.8	0.0952987 0.0207198
1 0.02 0.024 2.9	-0.056743 0.0856078
1 0.02 0.024 3.0	0.123844 0.000190042
1 0.03 0.018 1.5	-0.00203687 0.000149498
1 0.03 0.018 1.6	-0.00239124 9.54762e-05
1 0.03 0.018 1.7	-0.00241274 0.000101861
1 0.03 0.018 1.8	0.112085 0.00150943
1 0.03 0.018 1.9	-0.0023148 0.000139965
1 0.03 0.018 2.0	0.0238371 0.00225658
1 0.03 0.018 2.1	0.0986856 0.00221547
1 0.03 0.018 2.2	0.109811 0.00172989
1 0.03 0.018 2.3	0.075582 0.00271352
1 0.03 0.018 2.4	0.104471 0.00199221
1 0.03 0.018 2.5	0.110184 0.0017059
1 0.03 0.018 2.6	0.0897086 0.00245024
1 0.03 0.018 2.7	0.0921796 0.00235025
1 0.03 0.018 2.8	0.0742027 0.00261034
1 0.03 0.018 2.9	0.117276 0.00103564
1 0.03 0.018 3.0	0.110604 0.00152108
1 0.03 0.02 1.5	-0.00235246 0.000117088
1 0.03 0.02 1.6	0.0184766 0.00201352
1 0.03 0.02 1.7	0.00103215 0.000904234
1 0.03 0.02 1.8	-0.00204097 0.000201311
1 0.03 0.02 1.9	0.117218 0.00116101
1 0.03 0.02 2.0	0.115262 0.00136019
1 0.03 0.02 2.1	0.0373686 0.0025851
1 0.03 0.02 2.2	0.1132 0.00150706
1 0.03 0.02 2.3	0.113993 0.00146469
1 0.03 0.02 2.4	0.113372 0.00147859
1 0.03 0.02 2.5	0.0933467 0.00229442
1 0.03 0.02 2.6	0.107776 0.00171384
1 0.03 0.02 2.7	0.109704 0.00158057
1 0.03 0.02 2.8	0.0747744 0.00228995
1 0.03 0.02 2.9	0.105547 0.00182622
1 0.03 0.02 3.0	0.0718606 0.00209741
1 0.03 0.022 1.5	0.0815883 0.002603
