density	 t_tilde	 bins	 Energy	 EnVariance	 VarianceofTotE	 VarianceOfV 
0.02	0.02	80	-0.000657769	2.11474e-05	0.989941	0.00512982
0.02	0.02	81	-0.000659093	2.09277e-05	0.992431	0.00542306
0.02	0.02	82	-0.000660804	2.07423e-05	0.99104	0.00537083
0.02	0.02	83	-0.000661018	2.04935e-05	0.990521	0.00531459
0.02	0.02	84	-0.000659929	2.02785e-05	0.989317	0.00535639
0.02	0.02	85	-0.000659111	2.00564e-05	0.989292	0.00529791
0.02	0.02	86	-0.000656414	2.00038e-05	0.989412	0.00522641
0.02	0.02	87	-0.000659018	1.99426e-05	0.990251	0.00521294
0.02	0.02	88	-0.00066031	1.97578e-05	0.990231	0.00513829
0.02	0.02	89	-0.000656104	1.99783e-05	0.989979	0.00508497
0.02	0.02	90	-0.000654773	1.98007e-05	0.989027	0.00510903
0.02	0.02	91	-0.000652387	1.97263e-05	0.989238	0.00504238
0.02	0.02	92	-0.000654226	1.95973e-05	0.990873	0.00517138
0.02	0.02	93	-0.000658701	1.9891e-05	0.989923	0.00496046
0.02	0.02	94	-0.000661699	1.9904e-05	0.991107	0.00501608
0.02	0.02	95	-0.000664713	1.99214e-05	0.991202	0.00492032
0.02	0.02	96	-0.000663994	1.97269e-05	0.99166	0.00487511
0.02	0.02	97	-0.000664576	1.95321e-05	0.992612	0.00487987
0.02	0.02	98	-0.000663604	1.9357e-05	0.991984	0.00486983
0.02	0.02	99	-0.000662965	1.9172e-05	0.992691	0.00483814
0.02	0.02	100	-0.000660542	1.91329e-05	0.992293	0.00482098
0.03	0.02	1	-7.70501e-05	0	0.704983	0
0.03	0.02	2	-9.01565e-06	4.81076e-05	0.686943	0.0133666
0.03	0.02	3	-1.42945e-05	3.23601e-05	0.675995	0.0125126
0.03	0.02	4	-5.98466e-05	4.63172e-05	0.692682	0.0167261
0.03	0.02	5	-7.59082e-05	3.97412e-05	0.693688	0.0131386
0.03	0.02	6	-9.67302e-05	3.81848e-05	0.691795	0.0105607
0.03	0.02	7	-0.000110196	3.50237e-05	0.694596	0.00924496
0.03	0.02	8	-0.00015021	4.83753e-05	0.699516	0.00863014
0.03	0.02	9	-0.000142066	4.36805e-05	0.695134	0.00874487
0.03	0.02	10	-0.000161621	4.34699e-05	0.700951	0.00930478
0.03	0.02	11	-0.000167576	3.99239e-05	0.701512	0.00838166
0.03	0.02	12	-0.000175873	3.74492e-05	0.704886	0.00819195
0.03	0.02	13	-0.000186992	3.61817e-05	0.708719	0.00824788
0.03	0.02	14	-0.000186922	3.35973e-05	0.705465	0.00814103
0.03	0.02	15	-0.000178105	3.24937e-05	0.704542	0.00773591
0.03	0.02	16	-0.000180481	3.05496e-05	0.698684	0.00873678
0.03	0.02	17	-0.000175045	2.92323e-05	0.69779	0.00832255
0.03	0.02	18	-0.00015508	3.37443e-05	0.689967	0.0111154
0.03	0.02	19	-0.000140632	3.49244e-05	0.685334	0.0116285
0.03	0.02	20	-0.000146294	3.3634e-05	0.68812	0.0113017
0.03	0.02	21	-0.000150366	3.2278e-05	0.691051	0.0110745
0.03	0.02	22	-0.000146151	3.10848e-05	0.689696	0.0107022
0.03	0.02	23	-0.000151041	3.01154e-05	0.692502	0.0105372
0.03	0.02	24	-0.000158336	2.97311e-05	0.694762	0.0102581
0.03	0.02	25	-0.000155374	2.8689e-05	0.693968	0.00990967
0.03	0.02	26	-0.000157445	2.76602e-05	0.697411	0.0100389
0.03	0.02	27	-0.000165882	2.7893e-05	0.699536	0.00979884
0.03	0.02	28	-0.00017104	2.73695e-05	0.704652	0.0105841
0.03	0.02	29	-0.000167338	2.6675e-05	0.701541	0.0106852
0.03	0.02	30	-0.000168663	2.58188e-05	0.702157	0.0103339
0.03	0.02	31	-0.000169528	2.50004e-05	0.702206	0.00999207
0.03	0.02	32	-0.000170845	2.42538e-05	0.702459	0.0096706
0.03	0.02	33	-0.000166347	2.39323e-05	0.701249	0.00949034
0.03	0.02	34	-0.000166434	2.32286e-05	0.702327	0.00926382
0.03	0.02	35	-0.000155713	2.49164e-05	0.700463	0.00924257
0.03	0.02	36	-0.000155976	2.42257e-05	0.698619	0.00913866
0.03	0.02	37	-0.000150182	2.42539e-05	0.697329	0.0090282
0.03	0.02	38	-0.000155941	2.42895e-05	0.698344	0.00878723
0.03	0.02	39	-0.000164584	2.51578e-05	0.699156	0.00848024
0.03	0.02	40	-0.000159432	2.50508e-05	0.698497	0.00833122
0.03	0.02	41	-0.000157644	2.45035e-05	0.696971	0.00827515
0.03	0.02	42	-0.000156388	2.39523e-05	0.697649	0.00810617
0.03	0.02	43	-0.000157511	2.34215e-05	0.697754	0.00790785
0.03	0.02	44	-0.000153559	2.32202e-05	0.695717	0.00801531
0.03	0.02	45	-0.000153255	2.27062e-05	0.696085	0.00784621
0.03	0.02	46	-0.000154623	2.22537e-05	0.698624	0.00802905
0.03	0.02	47	-0.000157923	2.20236e-05	0.69977	0.00791271
0.03	0.02	48	-0.000163984	2.23833e-05	0.700319	0.00769414
0.03	0.02	49	-0.000164508	2.19326e-05	0.698779	0.00765701
0.03	0.02	50	-0.000170161	2.22106e-05	0.698307	0.00741378
0.03	0.02	51	-0.000171711	2.18291e-05	0.697746	0.00726445
0.03	0.02	52	-0.000176199	2.18659e-05	0.697868	0.00706869
0.03	0.02	53	-0.000172543	2.17569e-05	0.697126	0.00700135
